epoch,train_loss,val_loss,train_acc,val_acc
1,1.3179035452279177,1.1106179933995008,0.6358059914407989,0.6477045908183633
2,1.128382413766601,0.9979202914983034,0.6469329529243937,0.6397205588822356
3,1.055263552205129,0.9780004359781742,0.6582025677603424,0.6916167664670658
4,1.0033804728226228,0.939071400091052,0.6764621968616262,0.6736526946107785
5,0.9816365331411362,0.9245438426733017,0.6810271041369472,0.716566866267465
6,0.9456299474293536,0.8819192051887512,0.6998573466476462,0.6756487025948104
7,0.9424944725903598,0.8616039231419563,0.6972895863052782,0.6996007984031936
8,0.9443471353162419,0.8772642537951469,0.6970042796005707,0.7325349301397206
9,0.9272345690564676,0.8554344270378351,0.6980028530670471,0.7295409181636726
10,0.8999119345437396,0.8443977274000645,0.7065620542082739,0.687624750499002
11,0.8832833891565149,0.8436836414039135,0.7072753209700428,0.7345309381237525
12,0.8854736582799392,0.8371692840009928,0.7082738944365192,0.7095808383233533
13,0.8885517654093829,0.8287378717213869,0.7039942938659058,0.7385229540918163
14,0.8603251271627166,0.8100888542830944,0.7198288159771755,0.7265469061876247
15,0.8768997410481626,0.8205807190388441,0.7089871611982882,0.7405189620758483
16,0.8518534090031277,0.8096413090825081,0.7139800285306704,0.7325349301397206
17,0.8444241911172867,0.8355199713259935,0.7252496433666191,0.720558882235529
18,0.8643123652447354,0.8240647725760937,0.7088445078459343,0.7255489021956087
19,0.8478169560432434,0.8014410529285669,0.7208273894436519,0.7315369261477046
20,0.8405107965523546,0.8207202982157469,0.7288159771754636,0.7255489021956087
21,0.8319277778267861,0.7921744603663683,0.7299572039942939,0.7315369261477046
22,0.8296876675703309,0.7877703551203012,0.7302425106990015,0.7365269461077845
